id,name,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
SEN,Ayrton Senna,teamlotus,mclaren,mclaren,mclaren,mclaren,mclaren,mclaren,williams,,,,,,,,,,,,,,,,,,,,,,,,,
SEN,Bruno Senna,,,,,,,,,,,,,,,,,,,,,,,,hrt,renault,williams,,,,,,,
SIR,Sergey Sirotkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,williams,
SOS,Vincenzo Sospiri,,,,,,,,,,,mastercardlola,,,,,,,,,,,,,,,,,,,,,,
SPE,Scott Speed,,,,,,,,,,,,,,,,,,,,torrorosso,torrorosso,,,,,,,,,,,,
STE,Will Stevens,,,,,,,,,,,,,,,,,,,,,,,,,,,,caterham,manorracing,,,,
STR,Lance Stroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,williams,williams,racingpoint
SUT,Adrian Sutil,,,,,,,,,,,,,,,,,,,,,spyker,forceindia,forceindia,forceindia,forceindia,,forceindia,sauber,,,,,
SUZ,Aguri Suzuki,,lola,zakspeed,lola,lola,footwork,footwork,jordan,ligier,,,,,,,,,,,,,,,,,,,,,,,,
SUZ,Toshio Suzuki,,,,,,,larrousse,,,,,,,,,,,,,,,,,,,,,,,,,,
TAK,Toranosuke Takagi,,,,,,,,,,,,tyrrell,arrows,,,,,,,,,,,,,,,,,,,,
TAR,Gabriele Tarquini,osella,coloni,first+ags,ags,ags+fondmetal,fondmetal,,,tyrrell,,,,,,,,,,,,,,,,,,,,,,,,
TRU,Jarno Trulli,,,,,,,,,,,minardi+prost,prost,prost,jordan,jordan,renault,renault,renault+toyota,toyota,toyota,toyota,toyota,toyota,teamlotus,teamlotus,,,,,,,,
TUE,Esteban Tuero,,,,,,,,,,,,minardi,,,,,,,,,,,,,,,,,,,,,
VAN,Stoffel Vandoorne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mclaren,mclaren,mclaren,
VDG,Giedo van der Garde,,,,,,,,,,,,,,,,,,,,,,,,,,,caterham,,,,,,
VER,JeanÉric Vergne,,,,,,,,,,,,,,,,,,,,,,,,,,torrorosso,torrorosso,torrorosso,,,,,
VER,Jos Verstappen,,,,,,,,benetton,simtek,footwork,tyrrell,stewart,,arrows,arrows,,minardi,,,,,,,,,,,,,,,,
VER,Max Verstappen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,torrorosso,torrorosso+redbull,redbull,redbull,redbull
VET,Sebastian Vettel,,,,,,,,,,,,,,,,,,,,,bmwsauber+torrorosso,torrorosso,redbull,redbull,redbull,redbull,redbull,redbull,ferrari,ferrari,ferrari,ferrari,ferrari
VIL,Jacques Villeneuve,,,,,,,,,,williams,williams,williams,bar,bar,bar,bar,bar,renault,sauber,bmwsauber,,,,,,,,,,,,,
WAR,Derek Warwick,arrows,arrows,arrows,teamlotus,,,footwork,,,,,,,,,,,,,,,,,,,,,,,,,,
WEB,Mark Webber,,,,,,,,,,,,,,,,minardi,jaguar,jaguar,williams,williams,redbull,redbull,redbull,redbull,redbull,redbull,redbull,,,,,,
WEH,Pascal Wehrlein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manorracing,sauber,,
WEN,Karl Wendlinger,,,,,leytonhouse,march,sauber,sauber,sauber,,,,,,,,,,,,,,,,,,,,,,,,
WIL,Justin Wilson,,,,,,,,,,,,,,,,,jaguar+minardi,,,,,,,,,,,,,,,,
WIN,Markus Winkelhock,,,,,,,,,,,,,,,,,,,,,spyker,,,,,,,,,,,,
WUR,Alexander Wurz,,,,,,,,,,,benetton,benetton,benetton,benetton,,,,,mclaren,,williams,,,,,,,,,,,,
YAM,Sakon Yamamoto,,,,,,,,,,,,,,,,,,,,superaguri,spyker,,,hrt,,,,,,,,,
YOO,Alex Yoong,,,,,,,,,,,,,,,minardi,minardi,,,,,,,,,,,,,,,,,
ZAN,Alessandro Zanardi,,,,,jordan,minardi,teamlotus,teamlotus,,,,,williams,,,,,,,,,,,,,,,,,,,,
ZON,Ricardo Zonta,,,,,,,,,,,,,bar,bar,jordan,,,toyota,toyota,,,,,,,,,,,,,,
PAL,Jonathan Palmer,tyrrell,tyrrell,tyrrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHE,Eddie Cheever,arrows,arrows,arrows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHI,Piercarlo Ghinzani,ligier,zakspeed,osella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PER,Luis Pérez-Sala,,minardi,minardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARN,René Arnoux,ligier,ligier,ligier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAP,Pierre-Henri Raphanel,,lola,coloni+rial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAR,Oscar Larrauri,,eurobrun,eurobrun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAN,Christian Danner,zakspeed,,rial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEI,Volker Weidler,,,rial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIN,Joachim Winkelhock,,,ags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCL,Jean-Louis Schlesser,,williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STR,Philippe Streiff,tyrrell,ags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAM,Adrián Campos,minardi,minardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAB,Pascal Fabre,ags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBI,Teo Fabi,benetton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOR,Franco Forini,osella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
